619.9939;8.62096E-14;1.05262E-16
620.496;9.38004E-14;1.05275E-16
620.998;1.01218E-13;1.05326E-16
621.5;1.09564E-13;4.43236E-30
622.002;1.26224E-13;1.40483E-16
622.504;1.4432E-13;8.86411E-30
623.0061;1.76853E-13;1.05332E-16
623.5081;2.30719E-13;8.86477E-30
623.9939;3.42263E-13;1.40502E-16
624.4959;4.59569E-13;1.77388E-29
624.9979;5.00366E-13;1.72165E-16
625.5;5.85164E-13;1.05454E-16
626.002;7.60499E-13;0
626.504;7.76456E-13;3.55081E-29
627.006;9.89141E-13;1.75847E-16
627.508;1.07513E-12;7.10241E-29
627.9939;1.09456E-12;1.72297E-16
628.4959;1.26783E-12;1.75868E-16
628.6578;1.29155E-12;0
628.7064;1.31316E-12;1.43515E-14
628.755;1.50721E-12;7.24709E-29
628.8036;1.61485E-12;0
628.8522;1.83005E-12;0
628.9007;2.04549E-12;1.44942E-28
628.9493;2.3681E-12;0
628.9979;2.7991E-12;0
629.0465;3.49856E-12;1.79413E-14
629.0951;4.30656E-12;0
629.1436;5.38441E-12;2.89966E-28
629.1922;6.46087E-12;0
629.257;8.39893E-12;0
629.3056;9.69279E-12;5.79983E-28
629.3542;1.27095E-11;0
629.4028;1.89585E-11;0
629.4513;2.5314E-11;1.1602E-27
629.4999;3.23148E-11;0
629.5485;3.98594E-11;2.32059E-27
629.5971;4.77278E-11;0
629.6457;5.62348E-11;0
629.6942;6.54061E-11;1.07735E-14
629.7428;7.44844E-11;1.64584E-14
629.8076;8.62564E-11;1.79588E-14
629.8562;9.45023E-11;0
629.9048;1.03131E-10;4.64278E-27
629.9534;1.12619E-10;0
630.0019;1.22535E-10;0
630.0505;1.32665E-10;9.28599E-27
630.0991;1.42274E-10;9.28714E-27
630.1477;1.52651E-10;1.07797E-14
630.1963;1.63027E-10;9.29044E-27
630.2449;1.73264E-10;1.79753E-14
630.2934;1.83774E-10;1.6477E-14
630.342;1.94765E-10;1.43807E-14
630.4068;2.08985E-10;1.64747E-14
630.4554;2.20107E-10;1.76141E-14
630.504;2.30941E-10;1.43808E-14
630.5525;2.42374E-10;2.78384E-14
630.6011;2.54034E-10;1.64725E-14
630.6497;2.65738E-10;1.85854E-26
630.6983;2.77534E-10;0
630.7469;2.88695E-10;1.07887E-14
630.7955;2.99897E-10;1.07911E-14
630.844;3.11772E-10;1.9371E-14
630.8926;3.23883E-10;1.07929E-14
630.9574;3.3987E-10;1.64902E-14
631.006;3.52034E-10;1.76319E-14
631.0546;3.64648E-10;1.64957E-14
631.1031;3.77752E-10;3.39604E-14
631.1517;3.90788E-10;1.79995E-14
631.2003;4.03417E-10;1.44006E-14
631.2489;4.15952E-10;1.76354E-14
631.2975;4.28606E-10;1.64984E-14
631.3461;4.41194E-10;2.16017E-14
631.3946;4.53549E-10;1.65021E-14
631.4432;4.67155E-10;1.44057E-14
631.508;4.84209E-10;1.44071E-14
631.5566;4.97253E-10;1.65062E-14
631.6052;5.0939E-10;1.76475E-14
631.6537;5.21746E-10;1.65085E-14
631.7023;5.34063E-10;1.65084E-14
631.7509;5.46309E-10;1.76468E-14
631.7995;5.57636E-10;1.08067E-14
631.8481;5.6999E-10;1.65098E-14
631.8967;5.82146E-10;1.80159E-14
631.9452;5.94524E-10;1.65157E-14
631.9938;6.0615E-10;2.69721E-14
632.0424;6.19199E-10;2.27975E-14
632.1072;6.36336E-10;2.79187E-14
632.1558;6.49451E-10;1.80208E-14
632.2043;6.61114E-10;2.30781E-14
632.2529;6.72967E-10;2.99378E-14
632.3015;6.8406E-10;2.27932E-14
632.3501;6.96869E-10;1.08127E-14
632.3987;7.0903E-10;1.94108E-14
632.4473;7.21465E-10;1.94108E-14
632.4958;7.33449E-10;1.76592E-14
632.5444;7.44494E-10;2.52379E-14
632.593;7.54587E-10;2.2804E-14
632.6578;7.63699E-10;2.3926E-14
632.7064;7.65488E-10;2.30876E-14
632.7549;7.67581E-10;2.41895E-14
632.8035;7.67561E-10;2.88505E-14
632.8521;7.68941E-10;3.22484E-14
632.9007;7.65845E-10;2.79294E-14
632.9493;7.57868E-10;2.79304E-14
632.9979;7.5068E-10;2.52423E-14
633.0464;7.42929E-10;3.40171E-14
633.095;7.34541E-10;2.79319E-14
633.1436;7.26612E-10;2.90647E-14
633.1922;7.18621E-10;2.79228E-14
633.257;7.06493E-10;2.99382E-14
633.3056;6.98361E-10;1.8019E-14
633.3541;6.89433E-10;2.30742E-14
633.4027;6.80534E-10;1.80193E-14
633.4513;6.71601E-10;2.16234E-14
633.4999;6.61334E-10;1.76532E-14
633.5485;6.51112E-10;1.94024E-14
633.597;6.40952E-10;2.1618E-14
633.6456;6.30737E-10;2.30665E-14
633.6942;6.19741E-10;1.80089E-14
633.7428;6.08971E-10;2.38849E-14
633.8076;5.93974E-10;1.93854E-14
633.8562;5.83419E-10;2.15993E-14
633.9047;5.72097E-10;1.76356E-14
633.9533;5.61454E-10;1.76365E-14
634.0019;5.49856E-10;1.76359E-14
634.0505;5.38707E-10;1.76378E-14
634.0991;5.2675E-10;1.76317E-14
634.1476;5.15925E-10;1.76315E-14
634.1962;5.0471E-10;1.79951E-14
634.2448;4.92216E-10;1.64931E-14
634.2934;4.80874E-10;1.79921E-14
634.342;4.69461E-10;1.6488E-14
634.4068;4.52383E-10;1.64872E-14
634.4553;4.40848E-10;1.07948E-14
634.5039;4.28464E-10;1.4393E-14
634.5525;4.14969E-10;1.43944E-14
634.6011;4.03354E-10;1.64905E-14
634.6497;3.90704E-10;1.43953E-14
